datetime,rain,temp,wet_bulb,dew_point,vap_pressure,humidity,sea_pressure,wind_speed,wind_dir,sun,vis,cloud_height,clout_amount,date
2019-01-06T00:00:00.000Z,0.0,8.3,6.6,4.4,8.4,77,1036.3,6,220,0.0,30000,34,7,2019-01-06
2019-01-06T01:00:00.000Z,0.0,8.0,6.6,4.9,8.6,80,1036.1,5,230,0.0,30000,34,7,2019-01-06
2019-01-06T02:00:00.000Z,0.0,8.1,6.8,5.1,8.8,82,1036.2,6,230,0.0,30000,34,7,2019-01-06
2019-01-06T03:00:00.000Z,0.0,8.1,6.8,5.1,8.8,82,1036.7,5,240,0.0,30000,34,7,2019-01-06
2019-01-06T04:00:00.000Z,0.0,8.0,6.8,5.3,8.9,83,1036.5,5,230,0.0,30000,34,7,2019-01-06
2019-01-06T05:00:00.000Z,0.0,8.1,7.0,5.6,9.1,85,1036.3,6,240,0.0,30000,50,7,2019-01-06
2019-01-06T06:00:00.000Z,0.0,8.0,6.9,5.6,9.1,85,1036.1,5,230,0.0,30000,50,7,2019-01-06
2019-01-06T07:00:00.000Z,0.0,8.2,7.0,5.6,9.1,83,1035.9,5,230,0.0,30000,29,7,2019-01-06
2019-01-06T08:00:00.000Z,0.0,8.5,7.2,5.6,9.1,82,1036.5,5,250,0.0,30000,29,7,2019-01-06
2019-01-06T09:00:00.000Z,0.0,8.6,7.3,5.7,9.2,82,1036.8,5,240,0.0,30000,30,7,2019-01-06
2019-01-06T10:00:00.000Z,0.0,9.1,7.6,5.8,9.2,80,1036.7,4,240,0.2,30000,40,6,2019-01-06
2019-01-06T11:00:00.000Z,0.0,9.6,7.9,5.9,9.3,78,1037.0,4,230,0.0,30000,40,6,2019-01-06
2019-01-06T12:00:00.000Z,0.0,9.8,8.0,5.9,9.3,77,1036.7,4,250,0.0,30000,40,6,2019-01-06
2019-01-06T13:00:00.000Z,0.0,9.6,8.0,6.1,9.4,79,1036.4,6,240,0.0,30000,25,7,2019-01-06
2019-01-06T14:00:00.000Z,0.0,9.9,8.2,6.2,9.5,78,1036.1,6,240,0.0,35000,45,7,2019-01-06
2019-01-06T15:00:00.000Z,0.0,9.7,8.0,6.1,9.4,78,1036.0,7,240,0.0,40000,40,7,2019-01-06
2019-01-06T16:00:00.000Z,0.0,9.9,8.1,5.9,9.4,77,1035.9,6,230,0.0,40000,38,7,2019-01-06
2019-01-06T17:00:00.000Z,0.0,9.6,7.8,5.7,9.1,76,1035.9,6,220,0.0,40000,30,7,2019-01-06
2019-01-06T18:00:00.000Z,0.0,9.4,7.8,6.0,9.3,79,1036.1,5,170,0.0,30000,30,7,2019-01-06
2019-01-06T19:00:00.000Z,0.0,8.8,7.6,6.3,9.5,84,1035.8,4,160,0.0,30000,24,7,2019-01-06
2019-01-06T20:00:00.000Z,0.0,8.6,7.3,5.8,9.2,82,1035.8,3,210,0.0,30000,24,7,2019-01-06
2019-01-06T21:00:00.000Z,0.0,9.3,8.1,6.8,9.8,84,1035.5,5,220,0.0,30000,30,7,2019-01-06
2019-01-06T22:00:00.000Z,0.0,9.7,8.5,7.1,10.1,84,1035.1,6,220,0.0,30000,19,7,2019-01-06
2019-01-06T23:00:00.000Z,0.0,9.7,8.6,7.4,10.3,86,1035.0,6,200,0.0,25000,13,7,2019-01-06
2019-01-09T00:00:00.000Z,0.0,5.3,4.7,3.8,8.1,91,1034.9,6,280,0.0,30000,50,6,2019-01-09
2019-01-09T01:00:00.000Z,0.0,5.7,5.1,4.3,8.3,91,1034.9,7,270,0.0,30000,50,6,2019-01-09
2019-01-09T02:00:00.000Z,0.0,4.7,4.3,3.8,8.0,93,1034.6,7,280,0.0,30000,50,6,2019-01-09
2019-01-09T03:00:00.000Z,0.0,4.9,4.4,3.8,8.0,92,1034.7,6,280,0.0,30000,70,6,2019-01-09
2019-01-09T04:00:00.000Z,0.0,5.0,4.7,4.2,8.3,95,1034.4,8,280,0.0,30000,50,7,2019-01-09
2019-01-09T05:00:00.000Z,0.0,4.7,4.3,3.7,8.0,93,1034.2,8,290,0.0,30000,50,7,2019-01-09
2019-01-09T06:00:00.000Z,0.0,3.7,3.3,2.8,7.4,93,1033.9,8,290,0.0,30000,40,4,2019-01-09
2019-01-09T07:00:00.000Z,0.0,2.8,2.6,2.2,7.2,96,1034.0,8,300,0.0,30000,999,3,2019-01-09
2019-01-09T08:00:00.000Z,0.0,2.6,2.5,2.3,7.2,98,1034.2,7,300,0.0,30000,999,3,2019-01-09
2019-01-09T09:00:00.000Z,0.0,2.4,2.2,1.8,7.0,96,1034.7,8,300,0.4,30000,70,4,2019-01-09
2019-01-09T10:00:00.000Z,0.0,3.8,3.6,3.2,7.7,97,1034.9,7,300,1.0,30000,999,3,2019-01-09
2019-01-09T11:00:00.000Z,0.0,5.8,5.2,4.5,8.4,91,1034.8,5,310,1.0,30000,999,3,2019-01-09
2019-01-09T12:00:00.000Z,0.0,7.0,5.9,4.4,8.4,84,1034.3,6,300,0.9,30000,999,3,2019-01-09
2019-01-09T13:00:00.000Z,0.0,7.5,5.8,3.5,7.9,76,1033.8,6,330,0.2,30000,120,4,2019-01-09
2019-01-09T14:00:00.000Z,0.0,7.4,5.5,3.0,7.5,73,1033.6,7,340,0.0,30000,50,6,2019-01-09
